Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
1,AIR,361105,349.5,0.4,0.6,36.4
2,AAL,02376R102,-4431.2,0.7,9.9,-361.4
3,CECE,125141101,-114.2,0.4,0.5,2
4,AVX,2444107,1721.4,0,0,118.2
5,AAN,2535300,-1060.5,0.2,0.2,82.2
6,WDDD,98159J101,-32.1,-1.2,0.3,-1.6
7,ACET,4446100,374.2,0.1,0.1,12.8
8,ACMTA,4616207,-8.3,0.1,0.5,2.2
9,ACU,4816104,38.5,0.4,0.4,3
10,RWC,759525108,36.3,0.2,0.4,1.6
11,AE,6351308,391.1,0,0.1,9.2
12,AMD,7903107,4852.6,0.9,0.8,-502
13,ASMIY,N07045102,1968.8,0.2,0.2,137.7
14,AEM,8474108,1802.8,0.2,0.1,19
15,APD,9158106,-1209.4,0.4,0.2,800.8
16,AIRT,9207101,86.9,0.1,0.1,2.2
17,ALAN,11612702,-11.9,0.1,0.1,-3.3
18,ALK,11659109,7400.6,0.4,0.9,161.9
19,ATRI,49904105,144.7,0.1,0.1,15.4
20,MATX,57686G105,1216.3,0.3,0.3,87.9
21,AGMJF,15644107,1268.7,0.2,0.3,35.2
22,ALCO,16230104,5.6,0.5,0.3,8.5
23,SWKS,83088M102,2205.1,0.1,0.1,103.1
24,HES,42809H107,28806.2,0.3,0.4,1349.7
25,ABLT,24591406,-121.2,0.2,1.3,-1.3
26,ABM,957100,422.9,0.1,0.1,60.5
27,ECOL,91732J102,-204.4,0.2,0.2,17.4
28,AXP,25816109,18831.2,0.5,0.8,3711.7
29,HAIPF,M52514102,24.1,0.4,0.8,7.2
30,AMS,29595105,-88,1.2,2.5,0.6
31,AMSWA,29683109,196.3,0,0,6.2
32,AVD,30371108,-135.2,0.3,0.2,14.1
33,AME,31100100,2826.3,0.4,0.2,265.1
34,AMGN,31162100,11977.5,0.4,0.2,3369.6
35,AP,32037103,590.7,0,0.1,11.3
36,ADI,32654105,-3878.1,0.1,0,541.5
37,ALOG,32657207,569.9,0,0,22.5
38,ANDR,34393108,-69.5,0,0,-3.4
39,ANDE,34164103,-127.4,0.3,0.7,43.3
40,NBR,G6359F103,-2549.9,0.6,0.7,236.7
41,APA,37411105,-810.5,0.3,0.2,-217.2
42,APOG,37598109,884.8,0.1,0.1,26.6
43,AAPL,37833100,-4112.5,0,0,14541.8
44,AMAT,38222105,7328.1,0.1,0,925.8
45,ATU,00508X203,2508.3,-0.2,0.5,62.1
46,TREC,894648104,93.6,0.2,1.2,5.9
47,AOXY,00754B301,0,0.1,0.3,0
48,ADM,39483102,-3095.7,0.3,0.4,1299.8
49,ARCB,03937C105,833.8,0.1,0.1,29.7
50,ARW,42735100,-8708.5,0.4,0.6,215.4
51,ARTW,43168103,-6.6,0.3,0.3,0.8
52,AB.H,43420108,20.8,-1.7,18.4,-1.4
53,ASH,44186104,3781.2,0.3,0.5,370.8
54,ALOT,04638F108,39,0,0,3.2
55,ATRO,46433108,-121.4,0.3,0.2,15.9
56,REX,761624105,747.1,0.2,0.5,23.9
